timestamp,year,month,day,hour,weekday,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed,precipitation,season,is_weekend,time_of_day,aqi_lag_1,co_lag_1,no2_lag_1,pm2_5_lag_1,pm10_lag_1,aqi_rolling_std,aqi_rolling_min,aqi_rolling_max,co_rolling_avg,co_rolling_std,no2_rolling_avg,no2_rolling_std,pm2_5_rolling_avg,pm2_5_rolling_std,pm10_rolling_avg,pm10_rolling_std,co_change_rate,no2_change_rate,pm2_5_change_rate,pm10_change_rate,temperature_change_rate,humidity_change_rate,wind_speed_change_rate,temp_humidity_interaction,wind_pm2_5_interaction,cumulative_precipitation,cumulative_co,cumulative_no2,cumulative_pm2_5,cumulative_pm10,high_pollution_alert,rain_alert,temperature_squared,humidity_squared
1706011200,2024,1,23,12,1,5,2323.15,1.75,75.4,226.02,32.42,250.6,337.82,14.31,22.4,41,16.2,0.0,winter,0,afternoon,,,,,,,,,,,,,,,,,,,,,,,,918.4,4059.72,,,,,,0,0,501.75999999999993,1681
1706014800,2024,1,23,13,1,5,1415.25,0.13,45.24,175.95,26.94,137.79,211.96,7.6,22.4,41,16.2,0.0,winter,0,afternoon,5.0,2323.15,75.4,250.6,337.82,,,,,,,,,,,,-907.9000000000001,-30.160000000000004,-112.81,-125.85999999999999,0.0,0.0,0.0,918.4,2232.198,,,,,,0,0,501.75999999999993,1681
1706018400,2024,1,23,14,1,5,1321.79,0.0,55.52,100.14,30.52,91.79,162.34,10.01,22.4,41,16.2,0.0,winter,0,afternoon,5.0,1415.25,45.24,137.79,211.96,,,,,,,,,,,,-93.46000000000004,10.280000000000001,-45.999999999999986,-49.620000000000005,0.0,0.0,0.0,918.4,1486.998,,,,,,0,0,501.75999999999993,1681
1706022000,2024,1,23,15,1,5,1361.85,0.0,61.69,59.37,35.29,75.45,142.08,14.19,22.4,41,16.2,0.0,winter,0,afternoon,5.0,1321.79,55.52,91.79,162.34,,,,,,,,,,,,40.059999999999945,6.169999999999995,-16.340000000000003,-20.25999999999999,0.0,0.0,0.0,918.4,1222.29,,,,,,0,0,501.75999999999993,1681
1706025600,2024,1,23,16,1,5,2216.34,2.32,90.48,20.38,38.62,109.09,179.84,29.39,22.4,41,16.2,0.0,winter,0,afternoon,5.0,1361.85,61.69,75.45,142.08,,,,,,,,,,,,854.4900000000002,28.790000000000006,33.64,37.75999999999999,0.0,0.0,0.0,918.4,1767.258,,,,,,0,0,501.75999999999993,1681
1706029200,2024,1,23,17,1,5,4165.65,33.53,111.04,0.06,46.25,208.32,295.13,57.76,22.4,41,16.2,0.0,winter,0,afternoon,5.0,2216.34,90.48,109.09,179.84,,,,,,,,,,,,1949.3099999999995,20.560000000000002,99.22999999999999,115.28999999999999,0.0,0.0,0.0,918.4,3374.7839999999997,,,,,,0,0,501.75999999999993,1681
1706032800,2024,1,23,18,1,5,8117.68,103.71,139.83,0.0,66.76,439.62,561.32,106.39,22.4,41,16.2,0.0,winter,0,evening,5.0,4165.65,111.04,208.32,295.13,,,,,,,,,,,,3952.0300000000007,28.790000000000006,231.3,266.19000000000005,0.0,0.0,0.0,918.4,7121.844,,,,,,0,0,501.75999999999993,1681
1706036400,2024,1,23,19,1,5,13031.01,173.45,197.41,0.0,86.78,737.33,907.86,151.99,22.4,41,16.2,0.0,winter,0,evening,5.0,8117.68,139.83,439.62,561.32,,,,,,,,,,,,4913.33,57.579999999999984,297.71000000000004,346.53999999999996,0.0,0.0,0.0,918.4,11944.746000000001,,,,,,0,0,501.75999999999993,1681
1706040000,2024,1,23,20,1,5,14312.74,184.18,222.09,0.0,87.74,827.94,1013.23,151.99,22.4,41,16.2,0.0,winter,0,evening,5.0,13031.01,197.41,737.33,907.86,,,,,,,,,,,,1281.7299999999996,24.680000000000007,90.61000000000001,105.37,0.0,0.0,0.0,918.4,13412.628,,,,,,0,0,501.75999999999993,1681
1706043600,2024,1,23,21,1,5,11108.4,130.53,189.19,0.0,73.43,671.67,829.8,125.65,22.4,41,16.2,0.0,winter,0,evening,5.0,14312.74,222.09,827.94,1013.23,,,,,,,,,,,,-3204.34,-32.900000000000006,-156.2700000000001,-183.43000000000006,0.0,0.0,0.0,918.4,10881.053999999998,,,,,,0,0,501.75999999999993,1681
